ltar_roi_id,time_period,l8_and_s2_matches,scenes_available,planet_scene_id,l8_scene_id,s2_scene_id,notes
ecb-2,2020-07-20,1,TRUE,20200717_163719_80_1058,,S2A_MSIL2A_20200728T161911_R040_T16TFK_20200817T210858,
ecb-2,2020-09-20,11,TRUE,20200920_163946_00_105e,,S2B_MSIL2A_20200924T162929_R083_T16TFK_20200926T123827,
ecb-3,2020-07-20,5,TRUE,20200725_155946_23_1068,LC08_L2SP_019032_20200725_02_T1,S2A_MSIL2A_20200728T161911_R040_T17TKE_20200817T210959,
ecb-3,2020-05-20,,FALSE,,,,
ecb-3,2020-09-20,13,TRUE,20200925_163851_95_105a,,S2B_MSIL2A_20200921T161859_R040_T17TKE_20200924T100937,
gacp-1,2020-05-20,0,FALSE,,,,
gacp-1,2020-07-20,0,FALSE,,,,
gacp-1,2020-09-20,,FALSE,,,,
gacp-2,2020-05-20,0,FALSE,,,,
gacp-2,2020-07-20,0,FALSE,,,,
gacp-2,2020-09-20,0,FALSE,,,,
gacp-3,2020-05-20,1,TRUE,20200517_160206_70_1068,,S2A_MSIL2A_20200523T155911_R097_T17SMS_20201027T071616,
gacp-3,2020-07-20,5,TRUE,20200722_162005_78_1064,LC08_L2SP_017037_20200711_02_T1,S2B_MSIL2A_20200720T160829_R140_T17SMS_20200816T220919,
gacp-3,2020-09-20,0,FALSE,,,,
gb-1,2020-05-20,5,TRUE,20200524_182207_74_106e,LC08_L2SP_042032_20200523_02_T1,S2B_MSIL2A_20200523T182919_R027_T11TME_20200910T180504,
gb-1,2020-07-20,30,TRUE,20200725_181708_01_106b,LC08_L2SP_041033_20200719_02_T1,S2B_MSIL2A_20200712T182919_R027_T11SMD_20200912T235157,
gb-1,2020-09-20,30,TRUE,20200914_185046_41_1058,LC08_L2SP_041033_20200921_02_T1,S2B_MSIL2A_20200913T183929_R070_T11SMD_20200918T152710,
gb-2,2020-05-20,2,TRUE,20200525_180830_58_1065,,S2A_MSIL2A_20200528T182921_R027_T11TPG_20200911T064749,
gb-2,2020-07-20,30,TRUE,20200719_184311_45_1060,LC08_L2SP_041030_20200719_02_T1,S2B_MSIL2A_20200712T182919_R027_T11TPH_20200912T235227,
gb-2,2020-09-20,25,TRUE,20200917_180208_37_106c,LC08_L2SP_041030_20200921_02_T1,S2B_MSIL2A_20200920T182949_R027_T11TPH_20200922T230201,
gb-3,2020-07-20,30,TRUE,20200724_185153_67_1066,LC08_L2SP_043030_20200717_02_T1,S2B_MSIL2A_20200725T183919_R070_T11TLH_20201024T202130,
gb-3,2020-05-20,,FALSE,,,,
gb-3,2020-09-20,11,TRUE,20200921_181049_53_1062,LC08_L2SP_042030_20200928_02_T1,S2B_MSIL2A_20200913T183929_R070_T11TMH_20200918T152630,
jer-1,2020-05-20,22,TRUE,20200516_174311_26_1062,LC08_L2SP_033037_20200524_02_T1,S2A_MSIL2A_20200523T173911_R098_T13SCS_20200910T163146,
jer-1,2020-07-20,30,TRUE,20200717_173957_01_106d,LC08_L2SP_033037_20200711_02_T1,S2A_MSIL2A_20200715T174911_R141_T13SCS_20200912T041123,
jer-1,2020-09-20,30,TRUE,20200919_180425_30_1060,LC08_L2SP_033037_20200929_02_T1,S2B_MSIL2A_20200925T174009_R098_T13SCS_20200926T215946,
jer-2,2020-05-20,30,TRUE,20200520_173551_39_106c,LC08_L2SP_031038_20200526_02_T1,S2A_MSIL2A_20200520T172901_R055_T13REQ_20200910T080827,
jer-2,2020-07-20,25,TRUE,20200718_174728_35_1058,LC08_L2SP_032038_20200720_02_T1,S2B_MSIL2A_20200714T172859_R055_T13SER_20201027T082456,
jer-2,2020-09-20,27,TRUE,20200919_172911_74_1063,LC08_L2SP_032038_20200922_02_T1,S2B_MSIL2A_20200922T172929_R055_T13SER_20200926T063457,
